"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0U780","2019-07-25 00:00:00","15.000","0.000","0.200","27.900","0.820","1007.500","-99.000","1.500","-99.000","-99.000","-99.000","33.100","","25.800",""
"C0U760","2019-07-25 00:00:00","22.000","0.000","0.000","25.700","0.990","1007.800","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","25.000",""
"C0X290","2019-07-25 00:00:00","10.000","142.000","1.200","28.600","0.880","1008.000","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","26.400",""
"C0R420","2019-07-25 00:00:00","504.000","0.000","0.200","23.100","-99.000","949.700","-99.000","0.000","-99.000","-99.000","-99.000","28.500","","21.800",""
"C0E830","2019-07-25 00:00:00","37.000","196.000","1.500","28.900","0.810","1004.000","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","26.900",""
"C0K330","2019-07-25 00:00:00","38.000","177.000","0.300","27.500","0.860","1004.700","-99.000","0.000","-99.000","-99.000","-99.000","34.600","","25.400",""
"C0M660","2019-07-25 00:00:00","40.000","146.000","1.000","27.100","0.920","1005.300","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","25.100",""
"C0D580","2019-07-25 00:00:00","120.000","0.000","0.000","24.700","0.970","994.600","-99.000","0.000","-99.000","-99.000","-99.000","31.000","","22.900",""
"C0R640","2019-07-25 00:00:00","21.000","45.000","1.600","29.300","0.820","1007.400","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","26.500",""
"C0E810","2019-07-25 00:00:00","53.000","186.000","0.900","26.100","0.960","1003.000","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","24.400",""
"C0G830","2019-07-25 00:00:00","27.000","135.000","0.800","27.400","0.990","1004.800","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","25.500",""
"C0A550","2019-07-25 00:00:00","422.000","0.000","0.000","23.800","1.000","963.100","-99.000","1.500","-99.000","-99.000","-99.000","30.200","","22.500",""
"C0G750","2019-07-25 00:00:00","31.000","171.000","0.500","27.300","0.900","1006.600","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","25.100",""
"C0Z270","2019-07-25 00:00:00","343.000","187.000","2.000","25.000","0.950","971.700","-99.000","0.000","-99.000","-99.000","-99.000","28.900","","23.500",""
"C0UA30","2019-07-25 00:00:00","1397.000","211.000","0.300","19.800","0.990","861.100","-99.000","16.000","-99.000","-99.000","-99.000","23.200","","19.000",""
"C0I080","2019-07-25 00:00:00","536.000","0.000","0.000","22.900","0.940","953.300","-99.000","0.500","-99.000","-99.000","-99.000","30.300","","21.100",""
"C0UA00","2019-07-25 00:00:00","392.000","283.000","1.000","24.400","0.990","967.100","-99.000","0.500","-99.000","-99.000","-99.000","34.400","","23.300",""
"C0AD40","2019-07-25 00:00:00","32.000","181.000","0.300","26.300","0.960","1004.900","-99.000","3.000","-99.000","-99.000","-99.000","33.700","","24.400",""
"C0S660","2019-07-25 00:00:00","794.000","159.000","0.500","22.800","0.970","924.600","-99.000","1.500","-99.000","-99.000","-99.000","29.500","","19.500",""
"C0M640","2019-07-25 00:00:00","155.000","0.000","0.000","26.800","0.890","991.800","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","24.100",""
